0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,-2,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,-2,0,0,0,0,0,0,0,0,-4,0,0,0,0,0
0,-2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,-8,0,0,0,-2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-4,0,0,0,0
0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,-14,0,0,0,12,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-2
0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,2,0,0,0,0,-4,0,-2,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,-4,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,-2,0,0,0,0
0,2,0,0,0,2,0,-2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0
0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0
-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2,0,0,-2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,-6,0,0,0,0
0,0,0,0,0,0,-2,0,0,0,0,2,0,0,0,0
